" 

NEW OFFICE IN WATSONVILLE, CA

We are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.","September 17, 2018","['Fresno', 'Watsonville', 'Porterville', 'Sacramento', 'Visalia']","['Sacramento', 'Fresno']",August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
" “The problems can go way beyond nitrate in places where there is inadequate filtration,” Weyer says.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
" In adults, long-term exposure to nitrates can lead to the formation of carcinogenic compounds called nitrosamines, believed to contribute to elevate the likelihood of various forms of cancer.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
 But if you boil the water you concentrate the nitrates.,"February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"• Further south, the state’s Central Valley has become a great dumping ground for industrial and agricultural toxins – pesticides, fertilizers and other forms of industrial waste contaminate municipal and private wells with nitrates.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"
The water systems tap into aquifers contaminated with nitrates, a constituent of of synthetic fertilizer and manure, and other agricultural contaminants.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
" Of the nitrates seeping into the Central Valley’s groundwater, a full 96 percent comes from the region’s croplands, the report found.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"
According to Peter Weyer, associate director of the University of Iowa’s Center for Health Effects of Environmental Contamination, nitrates are often seen as an indicator of “overall” water quality – and high levels can indicate the presence of other microbial or organic contaminants.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
" In adults, long-term exposure to nitrates can lead to the formation of carcinogenic compounds called nitrosamines, believed to contribute to elevate the likelihood of various forms of cancer.","February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
 But if you boil the water you concentrate the nitrates.,"February 13, 2014\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many","['Tracy', 'Tulare', 'Mendota', 'Davis', 'Irvine', 'Tehachapi', 'Salinas', 'Sacramento', 'Visalia']","['Tulare', 'Lake', 'Nevada', 'Sierra', 'Sacramento']",California's Lingering Drought and Pollution Defy Solutions - Community Water Center,https://www.communitywatercenter.org/california_s_lingering_drought_and_pollution_defy_solutions
"”
High levels of nitrate in groundwater sources have plagued the Salinas Valley for years.","February 11, 2014","['Monterey', 'Tulare', 'Davis', 'Salinas', 'Watsonville']","['Monterey', 'Tulare', 'Lake']",Legislation Proposes Funding for Comprehensive Drinking Water Plan - Community Water Center,https://www.communitywatercenter.org/legislation_proposes_funding_for_comprehensive_drinking_water_plan
6 million people in the Tulare Lake Basin and the Salinas Valley rely on drinking water that may contain levels of nitrates above the state drinking water standards set by the California Department of Public Health.,"February 11, 2014","['Monterey', 'Tulare', 'Davis', 'Salinas', 'Watsonville']","['Monterey', 'Tulare', 'Lake']",Legislation Proposes Funding for Comprehensive Drinking Water Plan - Community Water Center,https://www.communitywatercenter.org/legislation_proposes_funding_for_comprehensive_drinking_water_plan
6 million people in the Tulare Lake Basin and the Salinas Valley rely on drinking water that may contain levels of nitrates above the state drinking water standards set by the California Department of Public Health.,"February 11, 2014","['Monterey', 'Tulare', 'Davis', 'Salinas', 'Watsonville']","['Monterey', 'Tulare', 'Lake']",Legislation Proposes Funding for Comprehensive Drinking Water Plan - Community Water Center,https://www.communitywatercenter.org/legislation_proposes_funding_for_comprehensive_drinking_water_plan
"
“The PWQA is impressed with the good work of the Community Water Center and we applaud their project in Monson, California, which has helped that small community with a useful tool help manage its nitrate contamination problem.","February 06, 2014",[],[],"PWQA Donates $2,500 to Community Water Center - Community Water Center",https://www.communitywatercenter.org/pwqa_donates_2_500_to_community_water_center
"
According to the Community Water Center, a local advocacy group, Diaz’s central California community has dealt with nitrate levels above the national standard intermittently for nine years.","December 09, 2013\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Tulare'],['Tulare'],A Central Valley Farming Town Copes with Toxic Tap Water - Community Water Center,https://www.communitywatercenter.org/a_central_valley_farming_town_copes_with_toxic_tap_water
" A 2012 study by UC-Davis researchers found that one in 10 people in the valley are at risk of drinking water with unsafe nitrate levels, and that about 1.","December 09, 2013\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Tulare'],['Tulare'],A Central Valley Farming Town Copes with Toxic Tap Water - Community Water Center,https://www.communitywatercenter.org/a_central_valley_farming_town_copes_with_toxic_tap_water
" According to Lund’s study, 96 percent of the contamination is caused directly from farming — especially from nitrate-rich synthetic fertilizers used throughout the valley.","December 09, 2013\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Tulare'],['Tulare'],A Central Valley Farming Town Copes with Toxic Tap Water - Community Water Center,https://www.communitywatercenter.org/a_central_valley_farming_town_copes_with_toxic_tap_water
"”
His tiny rural school — one of the poorest in the state — spends up to $600 a month on drinking water because nitrate levels there fluctuate between safe and unsafe levels.","December 09, 2013\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Tulare'],['Tulare'],A Central Valley Farming Town Copes with Toxic Tap Water - Community Water Center,https://www.communitywatercenter.org/a_central_valley_farming_town_copes_with_toxic_tap_water
" Well monitoring has shown high levels of nitrates and, in some cases, uranium.","November 22, 2013","['Fresno', 'Orange']","['Fresno', 'Orange']",EPA head laments lack of clean water in San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/epa_head_laments_lack_of_clean_water_in_san_joaquin_valley
" Well monitoring has shown high levels of nitrates and, in some cases, uranium.","November 22, 2013","['Fresno', 'Orange']","['Fresno', 'Orange']",EPA head laments lack of clean water in San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/epa_head_laments_lack_of_clean_water_in_san_joaquin_valley
" Some are naturally occurring, such as arsenic or uranium; other contaminants are related to land use including point source and nonpoint source discharges from industrial, commercial, agriculture, and human wastes usually from septic systems.","November 15, 2013",['Tulare'],"['Tulare', 'Kings']",Press Release: Drinking Water Issues of Local Communities are Focus of 2-Year Outreach - Community Water Center,https://www.communitywatercenter.org/press_release_drinking_water_issues_of_local_communities_are_focus_of_2_year_outreach
"
More than 3,500 students in four public schools and five Head Start centers in the small towns of Arvin and Lamont southeast of Bakersfield in Kern County no longer have to worry about unsafe levels of arsenic in their drinking water.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" “There are public health effects to chronic exposure of arsenic,” said Huang.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
 She said her district and the community spent a lot of time researching the right filters for arsenic.,"November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
"”
The filters for this project are certified by the California Department of Public Health to remove arsenic effectively.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
"
Maintenance Is Key to Success“Preliminary water testing already shows the filters are reducing the arsenic level below the safety limit,” said Huang.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" “Arsenic is a widespread issue, as well as nitrates.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" Other contaminants, such as nitrates, are the result of decades of intense industrial agriculture.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
"
A 2012 study by the University of California-Davis estimated that a quarter million people in the Tulare Basin in the Central Valley (one of the country’s leading dairy producers) and the Salinas Valley were at risk of nitrate contamination in their drinking water.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" High levels of nitrates have been linked to a potentially fatal condition called blue baby syndrome, caused by a lack of oxygen in the blood.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" “Arsenic is a widespread issue, as well as nitrates.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" Other contaminants, such as nitrates, are the result of decades of intense industrial agriculture.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" High levels of nitrates have been linked to a potentially fatal condition called blue baby syndrome, caused by a lack of oxygen in the blood.","November 14, 2013","['Fresno', 'Bakersfield', 'Tulare', 'Salinas', 'Arvin', 'Lamont']","['Kern', 'Tulare', 'Fresno']","Partnership Brings Clean Drinking Water to Central Valley Schools, Programs - Community Water Center",https://www.communitywatercenter.org/partnership_brings_clean_drinking_water_to_central_valley_schools_programs
" – Five Head Start Centers, four schools and south Kern County communities of Arvin and Lamont are getting relief from arsenic contaminated water.","November 13, 2013","['Arvin', 'Lamont']",['Kern'],South Kern County schools get safe drinking water - Community Water Center,https://www.communitywatercenter.org/south_kern_county_schools_get_safe_drinking_water
" In the meantime, residence and now schools are increasingly looking for interim measures they can take to reduce exposure to contaminants, primarily arsenic and nitrate.","November 13, 2013","['Arvin', 'Lamont']",['Kern'],South Kern County schools get safe drinking water - Community Water Center,https://www.communitywatercenter.org/south_kern_county_schools_get_safe_drinking_water
"
In south Kern County, where many communities drinking water supplies contain arsenic over legal health standard, residence and local leaders concerned about student exposure have taken action.","November 13, 2013","['Arvin', 'Lamont']",['Kern'],South Kern County schools get safe drinking water - Community Water Center,https://www.communitywatercenter.org/south_kern_county_schools_get_safe_drinking_water
" In the meantime, residence and now schools are increasingly looking for interim measures they can take to reduce exposure to contaminants, primarily arsenic and nitrate.","November 13, 2013","['Arvin', 'Lamont']",['Kern'],South Kern County schools get safe drinking water - Community Water Center,https://www.communitywatercenter.org/south_kern_county_schools_get_safe_drinking_water
"
Community Water Center said many rural valley communities have unsafe drinking water, contaminated by arsenic levels over the legal health standard.","November 07, 2013",['Arvin'],['Kern'],"Schools in Arvin, Lamont get water filters - Community Water Center",https://www.communitywatercenter.org/schools_in_arvin_lamont_get_water_filters
"
But, an initiative led by community groups in Kern County is helping schools in Arvin and Lamont keep their drinking water safe from arsenic.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Safer water for schools in Arvin and Lamont - Community Water Center,https://www.communitywatercenter.org/safer_water_for_schools_in_arvin_and_lamont
" They’ll also be in kitchens, all in an effort to get rid of arsenic.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Safer water for schools in Arvin and Lamont - Community Water Center,https://www.communitywatercenter.org/safer_water_for_schools_in_arvin_and_lamont
"
“For some time now, the community of Arvin has had a water issue with the acceptable levels of arsenic and nitrates in the water,” said Superintendent, Dr.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Safer water for schools in Arvin and Lamont - Community Water Center,https://www.communitywatercenter.org/safer_water_for_schools_in_arvin_and_lamont
"
“For some time now, the community of Arvin has had a water issue with the acceptable levels of arsenic and nitrates in the water,” said Superintendent, Dr.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Safer water for schools in Arvin and Lamont - Community Water Center,https://www.communitywatercenter.org/safer_water_for_schools_in_arvin_and_lamont
"
“For some time now, the community of Arvin has had a water issue with the acceptable levels of arsenic and nitrates in the water,” said Superintendent, Dr.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Safer water for schools in Arvin and Lamont - Community Water Center,https://www.communitywatercenter.org/safer_water_for_schools_in_arvin_and_lamont
"FOR IMMEDIATE RELEASE
Schools with arsenic contamination soon to have safe drinking waterCommunity-driven effort partners with many groups to install water filters in schools
(11/06/2013) KERN COUNTY, CA – Five Head Start Centers and four schools in the south Kern County communities of Arvin and Lamont are getting relief from arsenic contamination in public schools.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Press Release: Schools with arsenic contamination soon to have safe drinking water - Community Water Center,https://www.communitywatercenter.org/press_release_schools_with_arsenic_contamination_soon_to_have_safe_drinking_water
" In the meantime, residents and now schools are increasingly looking for interim measures they can take to reduce exposure to common contaminants, primarily arsenic and nitrate.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Press Release: Schools with arsenic contamination soon to have safe drinking water - Community Water Center,https://www.communitywatercenter.org/press_release_schools_with_arsenic_contamination_soon_to_have_safe_drinking_water
"
In south Kern County, where many community drinking water supplies contain arsenic over the legal health standard, residents and local leaders concerned about student exposure have taken action.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Press Release: Schools with arsenic contamination soon to have safe drinking water - Community Water Center,https://www.communitywatercenter.org/press_release_schools_with_arsenic_contamination_soon_to_have_safe_drinking_water
"
The filters are certified by the California Department of Public Health to remove arsenic effectively.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Press Release: Schools with arsenic contamination soon to have safe drinking water - Community Water Center,https://www.communitywatercenter.org/press_release_schools_with_arsenic_contamination_soon_to_have_safe_drinking_water
" In the meantime, residents and now schools are increasingly looking for interim measures they can take to reduce exposure to common contaminants, primarily arsenic and nitrate.","November 07, 2013","['Arvin', 'Lamont']",['Kern'],Press Release: Schools with arsenic contamination soon to have safe drinking water - Community Water Center,https://www.communitywatercenter.org/press_release_schools_with_arsenic_contamination_soon_to_have_safe_drinking_water
"
The San Joaquin Valley’s underground water is known for nitrate contamination, which comes from fertilizers, septic systems, sewage treatment and decaying plants.","September 19, 2013\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Fresno', 'Davis']","['Kern', 'Kings', 'Fresno']",State OKs new water rules for farmers - Community Water Center,https://www.communitywatercenter.org/state_oks_new_water_rules_for_farmers
"
The costs of water are high in these areas due to old infrastructure problems and because the water supply has contaminants such as nitrates and arsenic.","September 16, 2013","['Tulare', 'Delano', 'Fresno']","['Tulare', 'Kings', 'Fresno']",Water unaffordable to some in San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/water_unaffordable_to_some_in_san_joaquin_valley
"
The costs of water are high in these areas due to old infrastructure problems and because the water supply has contaminants such as nitrates and arsenic.","September 16, 2013","['Tulare', 'Delano', 'Fresno']","['Tulare', 'Kings', 'Fresno']",Water unaffordable to some in San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/water_unaffordable_to_some_in_san_joaquin_valley
"
And experts warn that contaminants such as nitrates will only increase in future years, forcing more water systems to upgrade or increase treatment to ensure safe drinking water.","September 16, 2013","['Tulare', 'Delano', 'Fresno']","['Tulare', 'Kings', 'Fresno']",Water unaffordable to some in San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/water_unaffordable_to_some_in_san_joaquin_valley
"
The costs of water are high in these areas due to old infrastructure problems and because the water supply has contaminants such as nitrates and arsenic.","September 16, 2013","['Tulare', 'Delano', 'Fresno']","['Tulare', 'Kings', 'Fresno']",Water unaffordable to some in San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/water_unaffordable_to_some_in_san_joaquin_valley
"
And experts warn that contaminants such as nitrates will only increase in future years, forcing more water systems to upgrade or increase treatment to ensure safe drinking water.","September 16, 2013","['Tulare', 'Delano', 'Fresno']","['Tulare', 'Kings', 'Fresno']",Water unaffordable to some in San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/water_unaffordable_to_some_in_san_joaquin_valley
"
Kayode Kadara, a retiree who lives in Allensworth, lives in a home with a reverse-osmosis filter to combat arsenic problems.","September 15, 2013","['Fresno', 'Oakland', 'Lanare', 'Tulare', 'Orosi', 'Davis', 'Sacramento', 'Armona', 'Allensworth']","['Tulare', 'Sacramento', 'Kings', 'Fresno']",Often-tainted tap water unaffordable to many in rural San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/often_tainted_tap_water_unaffordable_to_many_in_rural_san_joaquin_valley
"
In many places around the Valley, water pollution is likely to get worse because decades-old contaminants, called nitrates from farm fertilizers used in the past, are moving slowly into wells.","September 15, 2013","['Fresno', 'Oakland', 'Lanare', 'Tulare', 'Orosi', 'Davis', 'Sacramento', 'Armona', 'Allensworth']","['Tulare', 'Sacramento', 'Kings', 'Fresno']",Often-tainted tap water unaffordable to many in rural San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/often_tainted_tap_water_unaffordable_to_many_in_rural_san_joaquin_valley
" In northern Tulare County, nitrate contamination appears in Yettem, Sultana, Monson, Seville, Orosi, East Orosi and Cutler.","September 15, 2013","['Fresno', 'Oakland', 'Lanare', 'Tulare', 'Orosi', 'Davis', 'Sacramento', 'Armona', 'Allensworth']","['Tulare', 'Sacramento', 'Kings', 'Fresno']",Often-tainted tap water unaffordable to many in rural San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/often_tainted_tap_water_unaffordable_to_many_in_rural_san_joaquin_valley
"
In many places around the Valley, water pollution is likely to get worse because decades-old contaminants, called nitrates from farm fertilizers used in the past, are moving slowly into wells.","September 15, 2013","['Fresno', 'Oakland', 'Lanare', 'Tulare', 'Orosi', 'Davis', 'Sacramento', 'Armona', 'Allensworth']","['Tulare', 'Sacramento', 'Kings', 'Fresno']",Often-tainted tap water unaffordable to many in rural San Joaquin Valley - Community Water Center,https://www.communitywatercenter.org/often_tainted_tap_water_unaffordable_to_many_in_rural_san_joaquin_valley
"
Dozens of small water systems throughout the county are plagued with groundwater that exceeds federal standards for nitrates, arsenic or bacteria.","September 03, 2013","['Tulare', 'Allensworth', 'Seville', 'Goshen']","['Kern', 'Tulare']",Tulare County water districts take first steps toward fixing problems - Community Water Center,https://www.communitywatercenter.org/tulare_county_water_districts_take_first_steps_toward_fixing_problems
"
Dozens of small water systems throughout the county are plagued with groundwater that exceeds federal standards for nitrates, arsenic or bacteria.","September 03, 2013","['Tulare', 'Allensworth', 'Seville', 'Goshen']","['Kern', 'Tulare']",Tulare County water districts take first steps toward fixing problems - Community Water Center,https://www.communitywatercenter.org/tulare_county_water_districts_take_first_steps_toward_fixing_problems
"
Dozens of small water systems throughout the county are plagued with groundwater that exceeds federal standards for nitrates, arsenic or bacteria.","September 03, 2013","['Tulare', 'Allensworth', 'Seville', 'Goshen']","['Kern', 'Tulare']",Tulare County water districts take first steps toward fixing problems - Community Water Center,https://www.communitywatercenter.org/tulare_county_water_districts_take_first_steps_toward_fixing_problems
